,,,,All Type of Report (All Grades) for 03-Feb-2021 to 13-Feb-2026,,,,
Maharashtra,Ahilyanagar,Cereals,Wheat,03-09-2021,83.00,Metric Tonnes,1755.94,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,04-09-2021,32.00,Metric Tonnes,1731.72,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,05-09-2021,1.00,Metric Tonnes,1990.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,06-09-2021,11.00,Metric Tonnes,1916.36,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,07-09-2021,45.00,Metric Tonnes,1759.98,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,08-09-2021,45.00,Metric Tonnes,1724.44,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,09-09-2021,59.00,Metric Tonnes,1746.71,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,10-09-2021,8.00,Metric Tonnes,1850.13,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,11-09-2021,51.00,Metric Tonnes,1883.33,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,12-09-2021,8.00,Metric Tonnes,1871.25,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,13-09-2021,88.00,Metric Tonnes,1738.38,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,14-09-2021,72.00,Metric Tonnes,1772.06,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,15-09-2021,67.00,Metric Tonnes,1823.51,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,16-09-2021,14.00,Metric Tonnes,1802.29,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,17-09-2021,30.00,Metric Tonnes,1817.77,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,18-09-2021,57.00,Metric Tonnes,1776.07,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,19-09-2021,2.00,Metric Tonnes,1990.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,20-09-2021,50.00,Metric Tonnes,1878.16,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,21-09-2021,67.00,Metric Tonnes,1746.72,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,22-09-2021,28.00,Metric Tonnes,1803.82,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,23-09-2021,32.00,Metric Tonnes,1797.06,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,24-09-2021,28.00,Metric Tonnes,1818.04,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,25-09-2021,22.00,Metric Tonnes,1848.32,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,26-09-2021,12.00,Metric Tonnes,1922.50,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,27-09-2021,35.00,Metric Tonnes,1842.80,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,28-09-2021,29.00,Metric Tonnes,1822.76,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,29-09-2021,21.00,Metric Tonnes,1863.95,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,30-09-2021,22.00,Metric Tonnes,1840.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,01-10-2021,64.00,Metric Tonnes,1790.23,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,02-10-2021,8.00,Metric Tonnes,1869.38,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,03-10-2021,13.00,Metric Tonnes,1789.23,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,04-10-2021,76.00,Metric Tonnes,1851.97,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,05-10-2021,89.00,Metric Tonnes,1842.20,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,06-10-2021,72.00,Metric Tonnes,1817.25,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,07-10-2021,67.00,Metric Tonnes,1740.78,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,08-10-2021,67.00,Metric Tonnes,1723.97,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,09-10-2021,26.00,Metric Tonnes,1758.62,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,10-10-2021,4.00,Metric Tonnes,1817.50,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,11-10-2021,40.00,Metric Tonnes,1872.78,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,12-10-2021,74.00,Metric Tonnes,1912.36,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,13-10-2021,73.00,Metric Tonnes,1742.07,Rs./Quintal
